"date","temp","rh","rh2"
"2005-01-01",4.27790212631226,91.6829986572266,71.866296311134
"2005-01-02",3.79122233390808,62.2654113769531,59.6970251948779
"2005-01-03",2.46700835227966,80.4001312255859,100.273758752144
"2005-01-04",7.23275947570801,91.2121734619141,76.2118371608849
"2005-01-05",4.88182020187378,80.83349609375,65.5577113167528
"2005-01-06",-1.04711210727692,88.1549606323242,81.066181182801
"2005-01-07",-1.13554382324219,96.936164855957,81.7509142302102
"2005-01-08",-1.32257723808289,73.9935989379883,83.9029816075723
"2005-01-09",-2.07370758056641,95.1907348632812,79.1224454515152
"2005-01-10",-2.12872743606567,89.8288650512695,94.6658406660148
"2005-01-11",1.19326639175415,76.8132095336914,77.4810281103934
"2005-01-12",-0.399869561195374,76.6575164794922,91.1632458152583
"2005-01-13",0.504703879356384,97.9184875488281,96.2007973428024
"2005-01-14",7.69884300231934,97.4039154052734,52.6613444428738
"2005-01-15",3.64577293395996,59.8118782043457,46.4247540433987
"2005-01-16",-4.93321466445923,59.9081916809082,81.3080137990792
"2005-01-17",-5.21659135818481,68.7051010131836,69.5347943557636
"2005-01-18",-9.56253719329834,54.6151351928711,56.0800730960487
"2005-01-19",-15.1391344070435,47.1808929443359,75.6435632161693
"2005-01-20",-11.4374885559082,96.5802688598633,83.3674111277372
"2005-01-21",-9.87715530395508,61.059986114502,52.1044781533612
"2005-01-22",-15.9311285018921,49.2150230407715,65.2668100022078
"2005-01-23",-13.6244697570801,91.2079238891602,73.2705526741219
"2005-01-24",-13.2161998748779,56.9319152832031,63.5944356882435
"2005-01-25",-11.9391584396362,69.7239837646484,77.4663005891984
"2005-01-26",-7.64085149765015,59.3510856628418,78.934171418048
"2005-01-27",-9.45576190948486,84.0032424926758,55.8809202261725
"2005-01-28",-14.1895904541016,47.1772003173828,66.3816794146314
"2005-01-29",-13.1517124176025,48.4481964111328,56.2198463201135
"2005-01-30",-8.77662086486816,62.4626197814941,90.2169259868306
"2005-01-31",-2.45275187492371,50.8278388977051,50.9841613218164
"2005-02-01",-7.15865087509155,54.6655693054199,50.115379684701
"2005-02-02",-5.96564388275146,54.574161529541,49.5224844849854
"2005-02-03",-4.07779741287231,58.7820701599121,57.8313336518755
"2005-02-04",-2.15607357025146,91.1052017211914,80.5197238343501
"2005-02-05",0.586117625236511,75.1020050048828,70.6308746063054
"2005-02-06",3.5296938419342,52.6413955688477,57.6350807985335
"2005-02-07",2.58471274375916,57.1650047302246,57.316105741381
"2005-02-08",2.99499583244324,46.6636238098145,60.7895222377008
"2005-02-09",3.72686839103699,61.2798461914062,69.7646003875447
"2005-02-10",5.02015399932861,82.6249313354492,63.0006271520438
"2005-02-11",0.203203439712524,74.6980895996094,72.2329275478867
"2005-02-12",-0.973695158958435,44.959400177002,80.2929416688597
"2005-02-13",0.321577250957489,66.5151138305664,71.0544278228832
"2005-02-14",-1.93416476249695,53.4902839660645,67.1816796869677
"2005-02-15",0.691893577575684,94.7697219848633,76.7946893056682
"2005-02-16",4.84231519699097,74.7056503295898,63.4121734737635
"2005-02-17",3.99627733230591,73.7113265991211,58.8181126097569
"2005-02-18",-1.14867103099823,56.3935356140137,58.6373525629959
"2005-02-19",-6.4989423751831,46.8805351257324,65.3829990922134
"2005-02-20",-6.99210119247437,52.9546966552734,82.6842840261732
"2005-02-21",-3.54416942596436,48.8468017578125,83.1411349241655
"2005-02-22",-2.88659143447876,89.5191955566406,89.0858751308065
"2005-02-23",-0.0860550999641418,79.1242218017578,69.5864314894716
"2005-02-24",-3.59208035469055,51.9897804260254,63.0449199648446
"2005-02-25",-5.83301448822021,64.8906936645508,69.7893757776032
"2005-02-26",-7.38617658615112,68.8040313720703,57.4034784063103
"2005-02-27",-5.12122631072998,69.2344970703125,65.0129195096534
"2005-02-28",-4.19165992736816,45.127368927002,67.0405845756625
"2005-03-01",-2.88851356506348,68.8044738769531,84.455065232715
"2005-03-02",-2.52692031860352,82.3125152587891,80.5795472312761
"2005-03-03",-3.58271884918213,56.361759185791,68.83122933039
"2005-03-04",-6.93054056167603,50.6055450439453,72.9833989366353
"2005-03-05",-5.4810004234314,57.2772674560547,60.8754420086273
"2005-03-06",-2.18335056304932,51.2631416320801,65.5784649970107
"2005-03-07",0.476326733827591,70.6555099487305,82.9628643298958
"2005-03-08",5.42089366912842,69.7932586669922,44.5203857450611
"2005-03-09",-3.82314348220825,62.4739837646484,48.7111139330479
"2005-03-10",-9.12777233123779,51.3686180114746,70.3355551010587
"2005-03-11",-6.70557594299316,55.9366264343262,75.2757626181395
"2005-03-12",-3.34617948532104,97.0897903442383,82.3429443291788
"2005-03-13",-1.69992315769196,76.9078063964844,68.2541238817021
"2005-03-14",-1.49318099021912,63.4281692504883,67.6564673765142
"2005-03-15",-0.664619326591492,50.3790702819824,72.2529302219639
"2005-03-16",1.41059803962708,46.1029319763184,71.279982494887
"2005-03-17",-0.0597308427095413,49.4603614807129,66.2775786806747
"2005-03-18",1.09273254871368,53.5239410400391,66.3564765219509
"2005-03-19",1.07813131809235,49.0478515625,66.7076532779451
"2005-03-20",1.68475615978241,46.5512237548828,63.401030624674
"2005-03-21",2.01258158683777,79.2000427246094,81.0693432007008
"2005-03-22",1.54037261009216,76.8148956298828,73.1444018575569
"2005-03-23",4.85295677185059,49.1040992736816,61.9446461432379
"2005-03-24",2.25169134140015,62.9234008789062,72.8412313537315
"2005-03-25",0.761865973472595,81.5976257324219,73.6662512018034
"2005-03-26",2.05462288856506,64.5305023193359,65.3577629861751
